type,latitude,longitude,altitude (ft),course,slope (%),distance (mi),distance_interval (ft),color,opacity,width,scale,sym,name,desc
T,42.821145000,-106.369663000,5176.0,229.7,-0.5,4.627,50.38,,,,,,,
T,42.820601000,-106.370924000,5172.1,233.9,0.7,4.702,392.14,,,,,,,
T,42.819149000,-106.374965000,5170.0,239.6,0.9,4.930,1206.47,,,,,,,
T,42.816870000,-106.381501000,5208.4,242.2,1.0,5.298,1940.44,,,,,,,
T,42.816321000,-106.383051000,5212.5,243.7,1.4,5.385,461.52,,,,,,,
T,42.815677000,-106.384869000,5219.5,243.9,1.9,5.487,541.34,,,,,,,
T,42.813948000,-106.389633000,5248.7,244.1,1.6,5.757,1425.19,,,,,,,
T,42.813451000,-106.391140000,5260.6,244.4,1.3,5.841,443.09,,,,,,,
T,42.812727000,-106.393638000,5264.4,245.0,1.0,5.978,720.36,,,,,,,
T,42.812336000,-106.395269000,5258.1,246.0,0.1,6.065,460.27,,,,,,,
T,42.812100000,-106.396120000,5253.9,246.6,-0.8,6.111,244.02,,,,,,,
T,42.811979000,-106.396555000,5251.6,248.8,-1.4,6.135,124.78,,,,,,,
T,42.811704000,-106.397680000,5245.8,250.0,-1.4,6.195,318.08,,,,,,,
T,42.811069000,-106.400083000,5238.7,250.7,-0.6,6.325,685.10,,,,,,,
T,42.811039000,-106.400196000,5238.9,250.3,-0.1,6.331,32.23,,,,,,,
T,42.810529000,-106.402109000,5244.4,250.3,0.4,6.434,545.96,,,,,,,
T,42.810063000,-106.403889000,5250.0,250.4,1.0,6.530,506.95,,,,,,,
T,42.809969000,-106.404378000,5252.6,250.6,0.3,6.556,135.62,,,,,,,
T,42.809597000,-106.406527000,5257.0,252.7,-1.1,6.668,592.40,,,,,,,
T,42.809211000,-106.409295000,5246.1,254.7,-2.0,6.811,755.99,,,,,,,
T,42.808806000,-106.412205000,5212.5,256.9,-2.2,6.962,794.73,,,,,,,
T,42.808620000,-106.413536000,5197.3,258.5,-3.3,7.031,363.55,,,,,,,
T,42.808601000,-106.413675000,5196.1,258.7,-3.7,7.038,37.94,,,,,,,
T,42.808312000,-106.415765000,5173.1,259.3,-2.6,7.146,570.66,,,,,,,
T,42.808100000,-106.416929000,5169.4,258.8,-1.5,7.207,321.78,,,,,,,
T,42.807829000,-106.418955000,5165.2,258.8,-0.9,7.312,552.59,,,,,,,
T,42.807457000,-106.421530000,5163.9,258.8,0.1,7.445,704.19,,,,,,,
T,42.806834000,-106.424259000,5169.9,257.2,0.4,7.590,766.74,,,,,,,
T,42.806135000,-106.426594000,5176.9,254.7,0.7,7.718,676.43,,,,,,,
T,42.805404000,-106.428654000,5182.6,252.6,0.9,7.834,613.68,,,,,,,
T,42.804579000,-106.430533000,5187.9,249.1,0.9,7.946,587.10,,,,,,,
T,42.803591000,-106.432362000,5192.4,244.1,1.0,8.061,608.77,,,,,,,
