type,latitude,longitude,altitude (ft),course,slope (%),distance (mi),distance_interval (ft),color,opacity,width,scale,sym,name,desc
T,40.840929000,-98.531179000,1941.9,238.9,0.0,11.734,154.06,,,,,,,
T,40.840767000,-98.531539000,1940.1,239.0,0.0,11.756,115.78,,,,,,,
T,40.840628000,-98.531880000,1940.6,239.1,-0.0,11.776,107.09,,,,,,,
T,40.840438000,-98.532352000,1942.7,239.3,0.1,11.804,147.81,,,,,,,
T,40.840289000,-98.532736000,1940.2,241.0,0.2,11.826,119.32,,,,,,,
T,40.840119000,-98.533201000,1942.3,242.1,0.0,11.853,142.80,,,,,,,
T,40.839937000,-98.533726000,1941.8,243.4,-0.2,11.884,159.69,,,,,,,
T,40.839799000,-98.534131000,1940.6,244.0,0.1,11.907,122.83,,,,,,,
T,40.839665000,-98.534538000,1941.3,244.9,0.1,11.930,122.74,,,,,,,
T,40.839531000,-98.534959000,1941.1,245.7,0.1,11.954,126.31,,,,,,,
T,40.837192000,-98.542841000,1944.0,248.1,0.1,12.398,2341.59,,,,,,,
T,40.835075000,-98.549993000,1947.9,248.4,0.1,12.800,2124.07,,,,,,,
T,40.833666000,-98.554717000,1947.8,248.5,0.1,13.066,1404.43,,,,,,,
T,40.829424000,-98.569030000,1953.5,248.6,0.1,13.871,4251.77,,,,,,,
T,40.826829000,-98.577777000,1956.2,248.6,0.1,14.363,2598.81,,,,,,,
T,40.825649000,-98.581786000,1957.9,248.6,0.1,14.589,1189.90,,,,,,,
T,40.824491000,-98.585649000,1958.1,248.6,0.1,14.806,1149.37,,,,,,,
T,40.824208000,-98.586640000,1957.9,248.6,0.1,14.862,293.02,,,,,,,
T,40.823858000,-98.587929000,1957.0,248.7,0.1,14.934,378.86,,,,,,,
T,40.823813000,-98.588097000,1958.8,248.9,0.2,14.943,49.30,,,,,,,
T,40.823411000,-98.589556000,1959.9,249.2,0.2,15.024,429.55,,,,,,,
T,40.822656000,-98.592305000,1961.7,250.0,0.3,15.178,809.04,,,,,,,
T,40.822530000,-98.592721000,1960.7,250.0,0.1,15.201,123.95,,,,,,,
T,40.822406000,-98.593177000,1961.9,249.9,0.1,15.226,134.05,,,,,,,
T,40.822135000,-98.594099000,1961.3,249.7,0.1,15.278,273.62,,,,,,,
T,40.821610000,-98.596030000,1961.5,249.8,0.1,15.386,567.65,,,,,,,
T,40.821181000,-98.597575000,1963.3,249.7,0.2,15.472,455.29,,,,,,,
T,40.820831000,-98.598860000,1962.9,249.9,0.2,15.544,377.83,,,,,,,
T,40.820416000,-98.600237000,1965.1,249.6,0.3,15.621,410.02,,,,,,,
T,40.820010000,-98.601605000,1965.4,249.5,0.2,15.698,406.51,,,,,,,
T,40.819852000,-98.602129000,1966.5,249.2,0.3,15.728,156.04,,,,,,,
T,40.819706000,-98.602561000,1965.6,248.7,0.2,15.753,130.87,,,,,,,
T,40.819559000,-98.602960000,1966.5,247.7,0.1,15.776,122.74,,,,,,,
T,40.819009000,-98.604363000,1967.9,245.7,0.2,15.859,436.99,,,,,,,
T,40.818862000,-98.604776000,1966.6,244.4,0.1,15.882,126.24,,,,,,,
T,40.818734000,-98.605180000,1968.5,244.2,0.2,15.905,121.16,,,,,,,
T,40.818623000,-98.605496000,1966.2,244.0,0.1,15.924,96.36,,,,,,,
T,40.818084000,-98.607302000,1968.7,245.8,0.2,16.025,537.07,,,,,,,
T,40.818045000,-98.607431000,1968.5,247.5,0.1,16.033,38.43,,,,,,,
T,40.815112000,-98.617229000,1973.3,248.3,0.2,16.585,2915.00,,,,,,,
T,40.812369000,-98.626556000,1977.1,248.5,0.1,17.109,2768.48,,,,,,,
T,40.811806000,-98.628370000,1977.9,248.5,0.1,17.212,542.43,,,,,,,
T,40.806648000,-98.645729000,1985.4,248.5,0.1,18.189,5159.85,,,,,,,
T,40.804393000,-98.653318000,1986.0,248.6,0.1,18.616,2255.90,,,,,,,
T,40.804103000,-98.654296000,1986.8,248.6,0.1,18.671,290.64,,,,,,,
T,40.803874000,-98.655065000,1987.0,248.5,0.1,18.715,228.66,,,,,,,
T,40.801025000,-98.664648000,1991.2,248.6,0.1,19.254,2848.94,,,,,,,
T,40.795342000,-98.683740000,2000.6,248.6,0.1,20.329,5677.13,,,,,,,
T,40.789654000,-98.702829000,2002.7,248.5,0.1,21.405,5677.44,,,,,,,
T,40.788283000,-98.707426000,2003.4,248.5,0.1,21.664,1367.46,,,,,,,
T,40.786606000,-98.713062000,2007.0,248.5,0.1,21.981,1676.05,,,,,,,
T,40.786500000,-98.713430000,2009.2,248.5,0.1,22.002,108.98,,,,,,,
T,40.786410000,-98.713802000,2006.4,248.6,0.3,22.022,108.11,,,,,,,
T,40.786335000,-98.714131000,2006.7,248.8,0.3,22.040,95.12,,,,,,,
T,40.786260000,-98.714501000,2010.2,249.3,-0.5,22.060,106.04,,,,,,,
T,40.786186000,-98.714928000,2008.9,253.4,0.1,22.083,121.28,,,,,,,
T,40.786128000,-98.715365000,2006.3,255.8,0.4,22.107,122.85,,,,,,,
T,40.786084000,-98.715780000,2006.8,257.7,0.1,22.129,116.04,,,,,,,
T,40.786040000,-98.716224000,2009.1,259.5,0.4,22.152,124.00,,,,,,,
T,40.786024000,-98.716547000,2010.8,261.3,1.1,22.169,89.64,,,,,,,
T,40.786014000,-98.716823000,2011.2,263.2,0.7,22.184,76.52,,,,,,,
T,40.786004000,-98.717166000,2011.7,264.8,0.4,22.202,95.06,,,,,,,
T,40.786003000,-98.718480000,2011.9,267.7,0.2,22.270,363.88,,,,,,,
T,40.786002000,-98.719083000,2012.2,269.0,0.2,22.302,166.99,,,,,,,
T,40.785973000,-98.720025000,2013.2,268.9,-0.1,22.352,261.08,,,,,,,
T,40.785919000,-98.720537000,2013.3,268.1,0.1,22.379,143.14,,,,,,,
T,40.785833000,-98.721081000,2010.6,266.7,0.2,22.408,153.87,,,,,,,
T,40.785720000,-98.721616000,2012.9,263.2,-0.2,22.437,153.77,,,,,,,
T,40.785696000,-98.721730000,2013.5,261.3,0.1,22.443,32.76,,,,,,,
T,40.785576000,-98.722203000,2012.0,256.5,0.3,22.469,138.09,,,,,,,
T,40.785425000,-98.722635000,2014.0,252.7,-0.0,22.494,131.68,,,,,,,
T,40.785227000,-98.723128000,2012.5,248.6,0.1,22.523,154.41,,,,,,,
T,40.785003000,-98.723645000,2012.6,245.0,0.2,22.555,164.80,,,,,,,
T,40.784786000,-98.724047000,2014.1,242.6,-0.2,22.581,136.54,,,,,,,
T,40.784650000,-98.724286000,2013.2,239.6,0.1,22.596,82.68,,,,,,,
T,40.784440000,-98.724613000,2013.0,236.7,0.1,22.619,118.55,,,,,,,
T,40.784144000,-98.725029000,2013.4,233.0,0.0,22.649,157.80,,,,,,,
T,40.783329000,-98.726072000,2013.9,227.7,0.1,22.727,414.25,,,,,,,
T,40.783074000,-98.726414000,2014.1,226.3,0.2,22.752,132.67,,,,,,,
T,40.782858000,-98.726734000,2014.3,226.0,0.1,22.775,118.52,,,,,,,
T,40.782615000,-98.727169000,2015.4,226.7,0.0,22.803,149.50,,,,,,,
T,40.782446000,-98.727514000,2014.7,227.9,0.1,22.824,113.67,,,,,,,
T,40.782259000,-98.727959000,2014.0,233.2,0.1,22.851,140.82,,,,,,,
T,40.782134000,-98.728314000,2015.0,236.8,0.1,22.872,108.35,,,,,,,
T,40.781970000,-98.728872000,2015.0,241.3,0.3,22.903,165.68,,,,,,,
